Year	anom	sd	decadal
1895	-0.8267164	NA	NA
1896	-0.05575735	NA	NA
1897	-0.2137462	0.12322	NA
1898	-0.2996628	0.1176115	NA
1899	-0.5017377	0.1150445	NA
1900	0.3983599	0.1077508	-0.2414812
1901	-0.09716572	0.1081047	-0.2421101
1902	-0.1233227	0.106674	-0.2476558
1903	-0.6301901	0.101268	-0.2094415
1904	-0.4529877	0.09781023	-0.1865499
1905	-0.4386019	0.0930856	-0.2056712
1906	-0.0620461	0.0921719	-0.1899167
1907	-0.2692034	0.093935	-0.259406
1908	0.08248073	0.09357855	-0.2098973
1909	-0.2728222	0.09196448	-0.1691318
1910	0.2071469	0.09528375	-0.1422223
1911	0.06037919	0.08968502	-0.1893436
1912	-0.8182152	0.08823107	-0.2590836
1913	-0.1351028	0.08639682	-0.2691742
1914	-0.04533275	0.08573113	-0.2605983
1915	-0.1695076	0.08583232	-0.3289254
1916	-0.5332589	0.0856146	-0.2382711
1917	-0.966603	0.08738087	-0.1502795
1918	-0.01842599	0.08903904	-0.1489771
1919	-0.1870628	0.08832449	-0.2111426
1920	-0.4761243	0.0869227	-0.1638105
1921	0.9669227	0.08536584	-0.1092947
1922	0.06170048	0.08431711	0.002867658
1923	-0.1220792	0.08200504	0.006047793
1924	-0.6669877	0.08002278	-0.0220379
1925	0.3038142	0.08111634	0.03236954
1926	0.01189907	0.08126602	0.02497198
1927	0.1550201	0.08135143	0.02061285
1928	0.01337536	0.08059566	0.09070809
1929	-0.4679197	0.07995767	0.2654874
1930	0.06795019	0.07888657	0.2335373
1931	0.892947	0.0765182	0.2440395
1932	0.01810921	0.07518496	0.2166827
1933	0.5788731	0.07474494	0.2838952
1934	1.080805	0.07388641	0.4013849
1935	-0.01568669	0.07325517	0.3924742
1936	0.116921	0.0741093	0.3515257
1937	-0.1185481	0.07535218	0.3544162
1938	0.685501	0.07166182	0.3077292
1939	0.7069768	0.06977767	0.2076056
1940	-0.02115679	0.06922814	0.2106716
1941	0.4834616	0.06673174	0.2591118
1942	0.04701485	0.0659598	0.2802908
1943	0.1120028	0.06609127	0.2071122
1944	0.07956952	0.06645148	0.159461
1945	0.01497362	0.06712731	0.1452926
1946	0.6013231	0.06589396	0.06454794
1947	0.0932415	0.06548431	0.0850472
1948	-0.0462851	0.06398242	0.1554241
1949	0.2304648	0.06422616	0.2170881
1950	-0.1628404	0.06316315	0.207346
1951	-0.3239853	0.06377859	0.1671953
1952	0.2520074	0.06360823	0.1763248
1953	0.815772	0.06344426	0.185711
1954	0.6962096	0.06293598	0.1778003
1955	-0.0824472	0.06122307	0.172101
1956	0.1998161	0.06072479	0.2080746
1957	0.1845363	0.0589771	0.1811387
1958	0.04757697	0.05881498	0.1119894
1959	0.1513576	0.05741086	0.03000158
1960	-0.2198332	0.05703922	0.02312312
1961	0.03575026	0.05566829	-0.02240663
1962	-0.01735134	0.05476433	-0.05002589
1963	0.1242784	0.05329426	-0.08806103
1964	-0.1236683	0.05239076	-0.1275146
1965	-0.1512317	0.0509033	-0.1244872
1966	-0.2554814	0.0503805	-0.1390626
1967	-0.09165622	0.05136167	-0.1659594
1968	-0.3327744	0.05101402	-0.1553834
1969	-0.243178	0.05151355	-0.1244549
1970	-0.1895593	0.05017331	-0.1271532
1971	-0.110004	0.04955531	-0.1300416
1972	-0.2863189	0.04974763	-0.0936092
1973	0.2300379	0.04984351	-0.107193
1974	0.1856176	0.04868942	-0.1328129
1975	-0.1782151	0.04830459	-0.09694541
1976	-0.2843655	0.04887626	-0.02951202
1977	0.2726678	0.0498348	-0.03119592
1978	-0.468612	0.05119238	-0.05784266
1979	-0.4993777	0.0519164	-0.0713942
1980	0.1691157	0.05310661	-0.08836956
1981	0.5643299	0.05199993	0.008084215
1982	-0.3031579	0.05194983	0.04705055
1983	-0.03642947	0.05239076	0.1212857
1984	0.05010214	0.05253967	0.1561495
1985	-0.3479687	0.05367566	0.2209498
1986	0.6801723	0.05451809	0.2258089
1987	0.6623311	0.05618824	0.2815539
1988	0.2737393	0.05415865	0.2479491
1989	-0.150739	0.05544955	0.2867535
1990	0.817118	0.05467708	0.3560458
1991	0.6129217	0.05522995	0.2760831
1992	0.2542913	0.05693259	0.222754
1993	-0.3724771	0.05859317	0.3156117
1994	0.438146	0.05909473	0.4256485
1995	0.3449547	0.06180165	0.4009589
1996	-0.119455	0.06323183	0.4200341
1997	0.12904	0.0647176	0.4525556
1998	1.202316	0.06443531	0.5478349
1999	0.9496297	0.06493186	0.5550496
2000	0.570222	0.0653649	0.5992073
2001	0.8036737	0.06616347	0.7267003
2002	0.579506	0.06720486	0.792434
2003	0.5803158	0.06750129	0.644644
2004	0.5102933	0.06876263	NA
2005	0.7865312	0.07023028	NA
2006	1.155475	0.06882572	NA
2007	0.7863776	0.0713766	NA
2008	0.1140092	0.07339131	NA
